Tweets,Cleaned tweets,Detected aspects,Corresponding sentiment
so spectranet_ng says they are going to deactivate my mifi in 7 days if i don't subscribe. i've not done so in almost a year specifically because i temporarily moved to an area they don't have service coverage. i'm just waiting for them to deactivate it so they can see craze.,so spectranetng says they are going to deactivate my mifi in 7 days if i dont subscribe ive not done so in almost a year specifically because i temporarily moved to an area they dont have service coverage im just waiting for them to deactivate it so they can see craze,"['coverage', 'customer service']","['Negative', 'Negative']"
alaye148 spectranet_ng update: 24 hours after i made 15k payment. still no response or data from spectranet and kudabank,alaye148 spectranetng update 24 hours after i made 15k payment still no response or data from spectranet and kudabank,,
corporate governance is fundamental to venture success. glad to see the tizeti board rise up to this challenge facing them. edc4sme hildankor,corporate governance is fundamental to venture success glad to see the tizeti board rise up to this challenge facing them edc4sme hildankor,,
cyberomin lmao... if you use tizeti ehn...,cyberomin lmao if you use tizeti ehn,,
please is spectranet_ng network stable now ??,please is spectranetng network stable now,,
atoyebibamidel2 dzinkuz drjoeabah spectranet_ng ntelng too far bros. but i can assure you it's capped.,atoyebibamidel2 dzinkuz drjoeabah spectranetng ntelng too far bros but i can assure you its capped,,
spectranet said hold my dispensary,spectranet said hold my dispensary,,
"bolaji___ tizeti i'd say, wait a week first. so you don't waste money 😃",bolaji tizeti id say wait a week first so you dont waste money ,,
"oh boy, spectranet_ng won't make me work. and please don't tell me about resetting network signal bs, your network is pure trash  aguda surulere!!!! 😥😥😥😥",oh boy spectranetng wont make me work and please dont tell me about resetting network signal bs your network is pure trash aguda surulere ,,
wifisupport1 tizeti what exactly do you want me to respond to in this case?,wifisupport1 tizeti what exactly do you want me to respond to in this case,,
theshalvah spectranet barh? they're shitty today,theshalvah spectranet barh theyre shitty today,,
osirmah once spectranet,osirmah once spectranet,,
spectranet do double data abeg naa!,spectranet do double data abeg naa,,
"spectranet_ng abeg can you guys give me back my money, i don't want your data again. i'm stressed.",spectranetng abeg can you guys give me back my money i dont want your data again im stressed,,
"bigtt76 tizeti that's me! i signed up for an online masters course 4th of february, i got their internet 8th of february, and till today i haven't been able to watch a single video lecture. i've dropped out of the course! after promising 5mbps, they supplied 11kbps and asked me to renew.",bigtt76 tizeti thats me i signed up for an online masters course 4th of february i got their internet 8th of february and till today i havent been able to watch a single video lecture ive dropped out of the course after promising 5mbps they supplied 11kbps and asked me to renew,,
spectranet_ng shambles.,spectranetng shambles,,
so my neighbour just threw a tantrum because tizeti guys entered the compound to install my internet. talmbout they could be infected. baba dey wear mask inside house for isolation. i hate when i have to be rude to people. legit had to tell him i was going to be rude to him.,so my neighbour just threw a tantrum because tizeti guys entered the compound to install my internet talmbout they could be infected baba dey wear mask inside house for isolation i hate when i have to be rude to people legit had to tell him i was going to be rude to him,,
spectranet_ng 100% bonus offer today? 😉,spectranetng 100 bonus offer today ,,
communeamos spectranet_ng amos!!!!!!,communeamos spectranetng amos,,
lemme do small unpaid advert- spectranet is best for you,lemme do small unpaid advert spectranet is best for you,,
spectranet_ng don't let me curse you people. reply my dm and fix the goddamn issue.,spectranetng dont let me curse you people reply my dm and fix the goddamn issue,,
akintonmide jayangbayi lloydatiku spectranet_ng ntelng mtnng no wherre to hide sef 😔😔😔,akintonmide jayangbayi lloydatiku spectranetng ntelng mtnng no wherre to hide sef ,,
"itueng tizeti netflix bros! they haff tire me! terrible guys. they know nothing in that customer care. you will call and they will say 'escalate' and that is it. you have to call again and send mails and call before anything is done. once your subscription expire like this, ah! herculean to renew!",itueng tizeti netflix bros they haff tire me terrible guys they know nothing in that customer care you will call and they will say escalate and that is it you have to call again and send mails and call before anything is done once your subscription expire like this ah herculean to renew,['customer service'],['Negative']
tobibanks na me and spectranet o,tobibanks na me and spectranet o,,
spectranet_ng tweeting like you're giving us good internet service.,spectranetng tweeting like youre giving us good internet service,['customer service'],['Positive']
spectranet_ng payment made via zenith transfer for customer id and,spectranetng payment made via zenith transfer for customer id and,['customer service'],['Neutral']
bolanleodu ehn na spectranet you still dey use stream am,bolanleodu ehn na spectranet you still dey use stream am,,
wifisupport1 tizeti man you guys stress my life. everytime,wifisupport1 tizeti man you guys stress my life everytime,,
spectranet keep frustrating me but they give me too much data and i forget they are really very shitty,spectranet keep frustrating me but they give me too much data and i forget they are really very shitty,,
spectranet is shit yooo... download speed is at less than 2mb/sec,spectranet is shit yooo download speed is at less than 2mbsec,['speed'],['Negative']
i have offended spectranet.,i have offended spectranet,,
spectranet_ng why is it that you don't have network coverage in bogije? ibeju-lekki.,spectranetng why is it that you dont have network coverage in bogije ibejulekki,['coverage'],['Negative']
"kindly do the needful , follow up on our request for a refund please . tizeti",kindly do the needful follow up on our request for a refund please tizeti,,
why does spectranet need my nin?,why does spectranet need my nin,,
spectranet_ng,spectranetng,,
5 days of no internet tizeti wifisupport1 and our subscription is still running. i wonder how you guys sleep at night,5 days of no internet tizeti wifisupport1 and our subscription is still running i wonder how you guys sleep at night,,
yemitm442 spectranet_ng you no go do #giveaway for us ni?,yemitm442 spectranetng you no go do giveaway for us ni,,
changed it for spectranet tonight.,changed it for spectranet tonight,,
tizeti and downtime in the past few weeks cc: tizeti_,tizeti and downtime in the past few weeks cc tizeti,,
"are you living within badore community, lekki ajah axis? if yes, take advantage of this express wi-fi by facebook: the internet at fast speeds and low prices. wifi: expresswi-fi by facebook powered by : tizeti inc retail outlet: gnosis tutors office  badore.",are you living within badore community lekki ajah axis if yes take advantage of this express wifi by facebook the internet at fast speeds and low prices wifi expresswifi by facebook powered by tizeti inc retail outlet gnosis tutors office badore,"['price', 'speed']","['Positive', 'Positive']"
harryitie is this because the spectranet isn't good?,harryitie is this because the spectranet isnt good,,
"it is not compulsory that you offer unlimited internet under 30 per month tizeti wifisupport1. raise your prices if you need to. i've defended you severally against those calling you a scam, but your consistently inconsistent service is becoming tiring. do better",it is not compulsory that you offer unlimited internet under 30 per month tizeti wifisupport1 raise your prices if you need to ive defended you severally against those calling you a scam but your consistently inconsistent service is becoming tiring do better,"['price', 'customer service']","['Negative', 'Negative']"
thanks spectranet_ng for resolving the network problems in my area. i noticed 4 bars the other day and thought it was a fluke. nah! it's reallllllll! what an amazing new years surprise. 👏🏾👏🏾👏🏾👏🏾👏🏾,thanks spectranetng for resolving the network problems in my area i noticed 4 bars the other day and thought it was a fluke nah its reallllllll what an amazing new years surprise ,,
forgot my day time internet (tizeti) doesn't work and didn't download episodes of sex education. now i have to wait for swift till 5pm 🙄,forgot my day time internet tizeti doesnt work and didnt download episodes of sex education now i have to wait for swift till 5pm ,,
spectranet and airtel.. god will judge you guys 🤦🏽‍♀️,spectranet and airtel god will judge you guys ,,
"didi__a ikay__ good morning ma'am, how can i be of help to you . here at spectranet we ensure you get the best deals.",didia ikay good morning maam how can i be of help to you here at spectranet we ensure you get the best deals,,
open website - no upload ig - no send wetransfer- no send video to whatsapp- no lol tizeti pls dfkm,open website no upload ig no send wetransfer no send video to whatsapp no lol tizeti pls dfkm,,
arcsamuel consumersncc wifisupport1 tizeti jideofod i doubt there's consumer protection in this country. if notc tizeti would not be scamming people and remain in business,arcsamuel consumersncc wifisupport1 tizeti jideofod i doubt theres consumer protection in this country if notc tizeti would not be scamming people and remain in business,['customer service'],['Negative']
ayoholla_ lol i dey use spectranet wifi,ayoholla lol i dey use spectranet wifi,,
tizeti your network is shitty!,tizeti your network is shitty,,
fucking spectranet gas be shit since the lockdown started.,fucking spectranet gas be shit since the lockdown started,,
"ife_oluwa__ 20k internet isn't a big deal. i don't spend less than 12k on my own person sub in a month. spectranet 10k sub doesn't last more than 2 weeks when used by myself and my brother too. but you see that 150k for food ehn, na dere gan gan i lost",ifeoluwa 20k internet isnt a big deal i dont spend less than 12k on my own person sub in a month spectranet 10k sub doesnt last more than 2 weeks when used by myself and my brother too but you see that 150k for food ehn na dere gan gan i lost,,
spectranet_ng my evo mifi won't come on 😭😭😭😭 i still have subscription on it; please help,spectranetng my evo mifi wont come on  i still have subscription on it please help,,
"exactly! it's actually quite annoying. if spectranet_ng spend all the energy chasing me when i don't renew to improve their service, they won't need to be chasing me.",exactly its actually quite annoying if spectranetng spend all the energy chasing me when i dont renew to improve their service they wont need to be chasing me,['customer service'],['Negative']
"garneesol herculean_me spectranet_ng except you're for me, please maintain social distance..",garneesol herculeanme spectranetng except youre for me please maintain social distance,,
im not subscribing with spectranet after this finishes. i'm tired of this torture,im not subscribing with spectranet after this finishes im tired of this torture,,
"spectranet_ng how is it that i still have 20gb and you people are sending me messages to renew, that my data is exhausted? bare in mind that your network has been shitty for some days now🙄",spectranetng how is it that i still have 20gb and you people are sending me messages to renew that my data is exhausted bare in mind that your network has been shitty for some days now,,
"tizeti wehdone o, i think someone forgot to put the switch on before the lockdown. please check.",tizeti wehdone o i think someone forgot to put the switch on before the lockdown please check,,
so spectranet and smile have been hacked and mtn is also being annoying. sad thing is i use all three. fml,so spectranet and smile have been hacked and mtn is also being annoying sad thing is i use all three fml,,
"spectranet_ng hello, do you guys offer unlimited data package?",spectranetng hello do you guys offer unlimited data package,,
just look at spectranet speed.. 1kb/s download speed,just look at spectranet speed 1kbs download speed,['speed'],['Positive']
oddy4real spectranet_ng they meant every word in the first mail,oddy4real spectranetng they meant every word in the first mail,,
"the most useless internet provider is spectranet_ng as a customer of over 5 years, you can take it to the bank. to download as low as 5mb or stream movies online, it turns to war.",the most useless internet provider is spectranetng as a customer of over 5 years you can take it to the bank to download as low as 5mb or stream movies online it turns to war,"['price', 'customer service']","['Neutral', 'Negative']"
i need light to charge this mtn mifi and work or should i go to where i'll find spectranet network?,i need light to charge this mtn mifi and work or should i go to where ill find spectranet network,,
"spectranet_ng you'll be hearing from my lawyers, gear up",spectranetng youll be hearing from my lawyers gear up,,
aderoju__ spectranet_ng,aderoju spectranetng,,
spectranet is ripping me off!!!,spectranet is ripping me off,,
spectranet_ng hello pls reply your dm 🙏🏾,spectranetng hello pls reply your dm ,,
tizeti i got debited twice please rectify.. been sending emails since morning,tizeti i got debited twice please rectify been sending emails since morning,,
i'm having a bad day because of spectranet 🤬🤬😡😡,im having a bad day because of spectranet ,,
"spectranet must be competing with snail, that is the only explanation for this horrible network",spectranet must be competing with snail that is the only explanation for this horrible network,,
apaseayomi i use spectranet,apaseayomi i use spectranet,,
spectranet_ng pls kindly convert it or how do i go about it,spectranetng pls kindly convert it or how do i go about it,,
"i feel like i know the answer to this question but let me ask it anyways, is ntel still trash? tizeti nko?",i feel like i know the answer to this question but let me ask it anyways is ntel still trash tizeti nko,,
"drjoeabah spectranet_ng after over one year of several heartbreaking relationship with glo internet, i decided to try mtn. for now i'm not looking back. it finishes fast but works when it works. everything in nigeria needs god and prayers to work.",drjoeabah spectranetng after over one year of several heartbreaking relationship with glo internet i decided to try mtn for now im not looking back it finishes fast but works when it works everything in nigeria needs god and prayers to work,['speed'],['Negative']
them said make we no critic nollywood movie because we no use 2500 watch am for ozonu biko is spectranet et netflix free ? blood don tsunami your brain or better still your contaminated wigs have infested your blackbox,them said make we no critic nollywood movie because we no use 2500 watch am for ozonu biko is spectranet et netflix free blood don tsunami your brain or better still your contaminated wigs have infested your blackbox,,
lintuse_b msfey_ spectranet_ng 😂 quantity over quality,lintuseb msfey spectranetng  quantity over quality,['reliability'],['Negative']
416kb/s average download speed. spectranet is trash,416kbs average download speed spectranet is trash,['speed'],['Negative']
spectranet_ng kilo sele gan gan? 24500 naira in one month gone?? how???,spectranetng kilo sele gan gan 24500 naira in one month gone how,,
morenike_me spectranet. how many gig do you use monthly?,morenikeme spectranet how many gig do you use monthly,,
"ngcomcommission consumersncc spectranet_ng waiting, responded that i should call back. my question is how did 8gb got exhausted without heavy downloads or streaming? i demand an answer, this was the same reason i stopped using my spectranet account since august last year.",ngcomcommission consumersncc spectranetng waiting responded that i should call back my question is how did 8gb got exhausted without heavy downloads or streaming i demand an answer this was the same reason i stopped using my spectranet account since august last year,,
i dont know if you use internet service providers in nigeria but i beg of you all to stay away from spectranet_ng a gang of thieves bothered about their profits and still can not deliber no proper service! crappy network and incompetent customer service unit!,i dont know if you use internet service providers in nigeria but i beg of you all to stay away from spectranetng a gang of thieves bothered about their profits and still can not deliber no proper service crappy network and incompetent customer service unit,['customer service'],['Negative']
caxtonjp prima_311 wifisupport1 ngcomcommission cenbank channelstv classicfm973 jimidisu chicorockx ngrsenate saharareporters see mail thread. we are been scammed by tizeti/wifi.com. no service after payment.i have been without service for over three weeks and nobody has bothered to reach out or resolve my issues,caxtonjp prima311 wifisupport1 ngcomcommission cenbank channelstv classicfm973 jimidisu chicorockx ngrsenate saharareporters see mail thread we are been scammed by tizetiwificom no service after paymenti have been without service for over three weeks and nobody has bothered to reach out or resolve my issues,['customer service'],['Negative']
"coreyodonis airtel bro, i've used swift and spectranet. airtel is the best so far.",coreyodonis airtel bro ive used swift and spectranet airtel is the best so far,,
spectranet is damn too slow,spectranet is damn too slow,['speed'],['Negative']
just like tizeti.,just like tizeti,,
"spectranet_ng credited. , still awaiting confirmation. thanks.",spectranetng credited still awaiting confirmation thanks,,
"i've tried spectranet, smile, swift, tizeti(🤮). for their flaws, ntel was providing truly unlimited and relatively fast internet, and they are available in lagos and abuja. with this fup thing, i want to have options.",ive tried spectranet smile swift tizeti for their flaws ntel was providing truly unlimited and relatively fast internet and they are available in lagos and abuja with this fup thing i want to have options,['speed'],['Positive']
dear spectranet some of us only subscribe when we ve very important things to do with the internet.bikonu stop stop calling us like we owe u😩,dear spectranet some of us only subscribe when we ve very important things to do with the internetbikonu stop stop calling us like we owe u,,
😂🤣 smile ko spectranet ni, smile ko spectranet ni,,
"tizeti wifisupport1 i must say, i am very disappointed. your services have been really poor and one is saying anything about it, no apology. to say you just increased your tariff from 9500 to 12500. if you're in festaconline festacdirect festaccommunity please stay away..",tizeti wifisupport1 i must say i am very disappointed your services have been really poor and one is saying anything about it no apology to say you just increased your tariff from 9500 to 12500 if youre in festaconline festacdirect festaccommunity please stay away,['customer service'],['Negative']
dzinkuz atoyebibamidel2 drjoeabah spectranet_ng ntelng isn't that what i said??,dzinkuz atoyebibamidel2 drjoeabah spectranetng ntelng isnt that what i said,,
cryppts spectranet_ng i am tired ... it affected my job so bad😭,cryppts spectranetng i am tired it affected my job so bad,,
emperorneco karis4chibs drjoeabah spectranet_ng ntelng 😂😂😂 father lawd,emperorneco karis4chibs drjoeabah spectranetng ntelng  father lawd,,
spectranet_ng already on my way to get an ntel mifi so there's no need to escalate anything. your network can never be better. mtchew.,spectranetng already on my way to get an ntel mifi so theres no need to escalate anything your network can never be better mtchew,,
tizeti good evening! what is happening to your network on monastery road behind novare mall! it's becoming horrible by the day!,tizeti good evening what is happening to your network on monastery road behind novare mall its becoming horrible by the day,,
spectranet_limited heritagebankng polarisbankltd keystonebankng . . #rewardsonthego #rewardsattheclickofabutton #rewardstyle #rewardslifestyle #rewardsjustgotbetter #easierwithrewardsbox #giftideas #giftbox #rewardingemployees #rewardingcustomerseveryday #newcustomers #,spectranetlimited heritagebankng polarisbankltd keystonebankng rewardsonthego rewardsattheclickofabutton rewardstyle rewardslifestyle rewardsjustgotbetter easierwithrewardsbox giftideas giftbox rewardingemployees rewardingcustomerseveryday newcustomers,,
update!! the stress to success webinar is now on thursday the 25th of june 2020. . seminar link: . . please whoever has tizeti on the palms of their hands should warn them...,update the stress to success webinar is now on thursday the 25th of june 2020 seminar link please whoever has tizeti on the palms of their hands should warn them,,
aniruoje spectranet_ng 💯,aniruoje spectranetng ,,
spectranet not allowing your guy be great frahnnie,spectranet not allowing your guy be great frahnnie,,
"tizeti hello tizeti, good morning, this is a potential subscriber, need some urgent information on your product",tizeti hello tizeti good morning this is a potential subscriber need some urgent information on your product,,
wifisupport1 tizeti oladapo famuyide,wifisupport1 tizeti oladapo famuyide,,
"crosshaired_ ah! 😭😭😭 i'm ded! yesterday my phone suddenly went off, now it's just hot like it's transmitting from hell. there's a new update available but my spectranet is low",crosshaired ah  im ded yesterday my phone suddenly went off now its just hot like its transmitting from hell theres a new update available but my spectranet is low,['price'],['Negative']
maziibe_ happu na ka i don't knw hw i used 25gb in 5 days spectranet no do well dis period not even me dier loyal customer,maziibe happu na ka i dont knw hw i used 25gb in 5 days spectranet no do well dis period not even me dier loyal customer,['customer service'],['Negative']
___labi ms_juwwie spectranet_ng me i've moved on to fibre optic ooo. quality internet is required for these times.,labi msjuwwie spectranetng me ive moved on to fibre optic ooo quality internet is required for these times,,
iswsupport quickteller spectranet_ng pls follow back...so i can send you screenshots,iswsupport quickteller spectranetng pls follow backso i can send you screenshots,,
spectranet_ng please do you have coverage in warewa or arepo ogun state ?,spectranetng please do you have coverage in warewa or arepo ogun state,['coverage'],['Positive']
spectranet network has been good sha.,spectranet network has been good sha,,
tizeti i have continuosly requested for a fix... on your service and till now i am left in jeopardy.. how do i go unlimited when there's been no service in surulere local govt environs till now 7.50pm local time. i have provided my details endlessly wifisupport1 tizeti,tizeti i have continuosly requested for a fix on your service and till now i am left in jeopardy how do i go unlimited when theres been no service in surulere local govt environs till now 750pm local time i have provided my details endlessly wifisupport1 tizeti,['customer service'],['Negative']
who uses spectranet on the tl? i need to ask a few questions cos airtelnigeria wan finish me!!!,who uses spectranet on the tl i need to ask a few questions cos airtelnigeria wan finish me,,
tizeti has finished me. is it everyday uselessness?,tizeti has finished me is it everyday uselessness,,
"piggybank, that was my weekend/ spectranet money 😭😩. to jesus be my glory 😩.",piggybank that was my weekend spectranet money  to jesus be my glory ,,
"theonlyebuka airtelnigeria spectranet_ng swift, here i come 🙌🏻",theonlyebuka airtelnigeria spectranetng swift here i come ,,
spectranet can take this thing and throw it away 🤦🏿‍♂️,spectranet can take this thing and throw it away ,,
spectranet is being extra shitty tonight,spectranet is being extra shitty tonight,,
"omonioboli tizeti discontinued with them some months ago, the back and forth was becoming too stressful.",omonioboli tizeti discontinued with them some months ago the back and forth was becoming too stressful,,
tizeti?,tizeti,,
i gave a bad review to a neighbour about tizeti. in the past few days the connection has been stable. i called him and gave the update to him just because i know how difficult it is to acquire customers and i would never bad mouth a service unless it is truly truly shitty.,i gave a bad review to a neighbour about tizeti in the past few days the connection has been stable i called him and gave the update to him just because i know how difficult it is to acquire customers and i would never bad mouth a service unless it is truly truly shitty,['customer service'],['Negative']
wifisupport1 tizeti already resolved! well done people.,wifisupport1 tizeti already resolved well done people,,
"munachi_ spectranet call their customers? i'm flabberwhelmed and overgasted, i tell ya. how come they never call me? i have a few things to tell them 🌚",munachi spectranet call their customers im flabberwhelmed and overgasted i tell ya how come they never call me i have a few things to tell them ,['customer service'],['Neutral']
spectranet_ng a video of 32 seconds took me 15mins to watch. you guys are really exceeding expectations,spectranetng a video of 32 seconds took me 15mins to watch you guys are really exceeding expectations,,
"tizeti your customer service numbers are all unreachable. you are holding my money, keeping your service and frustrating me",tizeti your customer service numbers are all unreachable you are holding my money keeping your service and frustrating me,['customer service'],['Negative']
spectranet_ng please refund me since you've chosen to be unfortunate. hello mtnng are you my next ex?,spectranetng please refund me since youve chosen to be unfortunate hello mtnng are you my next ex,,
"spectranet_ng i've sent email, been to your ozone office, even spoken to your technician i am tired!!!!!!!!!!!",spectranetng ive sent email been to your ozone office even spoken to your technician i am tired,,
my spectranet just expired. one less evil to deal with 🤧🤧,my spectranet just expired one less evil to deal with ,,
uglycreator_ i haven't used spectranet yet,uglycreator i havent used spectranet yet,,
tizeti always sending down time notification . mtchew.,tizeti always sending down time notification mtchew,,
seanblade tizeti na full scam! but i go show dem say no be every client be maga.,seanblade tizeti na full scam but i go show dem say no be every client be maga,['customer service'],['Neutral']
spectranet_ng spectranet_ng spectranet_ng don't make my day useless oooooooooh! #spectranet #bringbackmynetwork #spectranet #bringbackmynetwork #spectranet #bringbackmynetwork,spectranetng spectranetng spectranetng dont make my day useless oooooooooh spectranet bringbackmynetwork spectranet bringbackmynetwork spectranet bringbackmynetwork,,
who knows where i can get spectranet sim around yaba? 😩,who knows where i can get spectranet sim around yaba ,,
akintonmide jayangbayi lloydatiku spectranet_ng ntelng mtnng we refused to catch #covid19 #covid19 refused to catch us (may god be praised forever) but ntelng spectranet_ng mtnng are inflecting too much pains! too muchhhhh,akintonmide jayangbayi lloydatiku spectranetng ntelng mtnng we refused to catch covid19 covid19 refused to catch us may god be praised forever but ntelng spectranetng mtnng are inflecting too much pains too muchhhhh,,
"simplykacy spectranet_ng yeah, i'm around now. been around for a while too.",simplykacy spectranetng yeah im around now been around for a while too,,
spectranet_ng since friday !!! what the actual fuck ?,spectranetng since friday what the actual fuck,,
i want refund spectranet_ng,i want refund spectranetng,,
"babymariam01 ayo__aroloye spectranet_ng wait, this is somebody's daddy you are calling ogbeni apari oo? ahhh",babymariam01 ayoaroloye spectranetng wait this is somebodys daddy you are calling ogbeni apari oo ahhh,,
spectranet_ng this is for,spectranetng this is for,,
maziibe_ spectranet_ng lol!! na ig bro. omo i restart my spectranet tire thinking na dem 😂,maziibe spectranetng lol na ig bro omo i restart my spectranet tire thinking na dem ,,
will spectranet_ng not give us bonus data to celebrate women on international women's day today? do something ooo...,will spectranetng not give us bonus data to celebrate women on international womens day today do something ooo,,
"spectranet has been a mess since yesterday tho 🥴🥴🥴, if it's to call and be asking you to pay money now they'll do that one well .",spectranet has been a mess since yesterday tho  if its to call and be asking you to pay money now theyll do that one well,,
spectranet_ng having issues with my account,spectranetng having issues with my account,,
"spectranet_ng ""apologies"" is all i get all the time. 26 days is a lot of time already. i think i exhausted my patience, i fear your customer service may be worse once i start using your product.",spectranetng apologies is all i get all the time 26 days is a lot of time already i think i exhausted my patience i fear your customer service may be worse once i start using your product,['customer service'],['Negative']
"30gb data subcription on spectranet last month. they gave me 100% bonus. subscription expires this midnight, i haven't exhausted the bonus, not to talk of the main bundle. no be say i no dey browse o, their network no just gree me use am ni",30gb data subcription on spectranet last month they gave me 100 bonus subscription expires this midnight i havent exhausted the bonus not to talk of the main bundle no be say i no dey browse o their network no just gree me use am ni,,
"if 9mobile and spectranet keep texting me aggressively with love, i'm going to leave my man for them.",if 9mobile and spectranet keep texting me aggressively with love im going to leave my man for them,,
1gb is the new 10mb. cc gloworld airtelnigeria mtnng spectranet_ng ntelng 9mobileng,1gb is the new 10mb cc gloworld airtelnigeria mtnng spectranetng ntelng 9mobileng,,
"wifisupport1 tizeti good for you. enjoy. i won't do anything. in the next half hr, i will update this post with the speed. keep at it, you are ruining ur business with ur own hand",wifisupport1 tizeti good for you enjoy i wont do anything in the next half hr i will update this post with the speed keep at it you are ruining ur business with ur own hand,"['speed', 'customer service']","['Positive', 'Negative']"
olene_ pele. get spectranet,olene pele get spectranet,,
"buildbuff_ng femmybabs jeffphilips1 drjoeabah spectranet_ng fobroadband 10,800 for 10mbps (unlimited data)",buildbuffng femmybabs jeffphilips1 drjoeabah spectranetng fobroadband 10800 for 10mbps unlimited data,,
skinnytobi eze_nwanyii tizeti ichoptweets 😂😂 this madness is already amazing people,skinnytobi ezenwanyii tizeti ichoptweets  this madness is already amazing people,,
spectranet_ng thanks for your swift reply and assistance. i'm back up and running. have a fabulous week.,spectranetng thanks for your swift reply and assistance im back up and running have a fabulous week,,
"olatorich hydromanoel spectranet_ng lol bro if i tell you how many times spectranet_ng has made me lost jobs. there was a day i wanted to do a zoom training people paid for, spectranet messed me up. you just have to dump that network.",olatorich hydromanoel spectranetng lol bro if i tell you how many times spectranetng has made me lost jobs there was a day i wanted to do a zoom training people paid for spectranet messed me up you just have to dump that network,,
i have used spectranet_ng 4g lte routers both at home and office i have never had speed up to 1mbps before... damn thing is only manageable for sm and netflix...,i have used spectranetng 4g lte routers both at home and office i have never had speed up to 1mbps before damn thing is only manageable for sm and netflix,,
nazom_ngini especially spectranet and they will be chopping my 10k monthly,nazomngini especially spectranet and they will be chopping my 10k monthly,,
wifisupport1 chukymcobi tizeti please stop using #tizeti !!! they have no good service or customer care... they only care about ripping you off your money. #badservice #poorinternet #coronavirusoutbreak #lagos,wifisupport1 chukymcobi tizeti please stop using tizeti they have no good service or customer care they only care about ripping you off your money badservice poorinternet coronavirusoutbreak lagos,['customer service'],['Negative']
is that spectranet_ng,is that spectranetng,,
_miamorr_ spectranet doesn't share data,miamorr spectranet doesnt share data,,
tizeti what is the matter now? even in this pandemic you're giving me slow internet? haba,tizeti what is the matter now even in this pandemic youre giving me slow internet haba,['speed'],['Negative']
madejibo evaalordiah when you hear tizeti run for your own good 😜,madejibo evaalordiah when you hear tizeti run for your own good ,,
spectranet is playing a dangerous game with me,spectranet is playing a dangerous game with me,,
remaining 38 weeks? 73mb after 2hrs??? spectranet is shit. you can't tell me otherwise 🤷🏾‍♂️,remaining 38 weeks 73mb after 2hrs spectranet is shit you cant tell me otherwise ,,
spectranet or smile?,spectranet or smile,,
speak2liive 100% spectranet,speak2liive 100 spectranet,,
"spectranet_ng what's wrong with your service? for the past 18 hours, service has been epileptic. please address it",spectranetng whats wrong with your service for the past 18 hours service has been epileptic please address it,['customer service'],['Negative']
tizeti poor service like always... days of no network... worst of all costumer support,tizeti poor service like always days of no network worst of all costumer support,['customer service'],['Negative']
my user id is . check my records and take note that i'm dumping your a** if you don't reach out now . i'm supposed to be working from home yet you are frustrating me your shitty network spectranet_ng spectranet4gnig,my user id is check my records and take note that im dumping your a if you dont reach out now im supposed to be working from home yet you are frustrating me your shitty network spectranetng spectranet4gnig,,
please help me settle this! rt for spectranet_ng like for smilecomsng which has the better service? #mywifi,please help me settle this rt for spectranetng like for smilecomsng which has the better service mywifi,['customer service'],['Positive']
spectranet_ng the world has seriously evolved and u too should! employ ppl to manage ur social media accounts one mustn't travel all the way to ur stores to be attended to,spectranetng the world has seriously evolved and u too should employ ppl to manage ur social media accounts one mustnt travel all the way to ur stores to be attended to,,
"everytime low speed, which way na? how will i use my money to sub and i'm getting this kind of service?! tizeti, come and answer tizeti wifisupport1 you sef want to add to our hardship? which way na?",everytime low speed which way na how will i use my money to sub and im getting this kind of service tizeti come and answer tizeti wifisupport1 you sef want to add to our hardship which way na,"['price', 'speed', 'customer service']","['Positive', 'Negative', 'Positive']"
spectranet and mtn i dunno who is worse. horrible ass networks,spectranet and mtn i dunno who is worse horrible ass networks,,
spectranet_ng reply my dm. this is the last time i will beg you to reply me. 🙄,spectranetng reply my dm this is the last time i will beg you to reply me ,,
spectranet_ng bhet you guys have been investigating since friday nah.. .,spectranetng bhet you guys have been investigating since friday nah,,
spectranet finally worked today. oro ti sun mi,spectranet finally worked today oro ti sun mi,,
yemia_ tizeti fullmetal alchemist 👏🏾👏🏾👏🏾,yemia tizeti fullmetal alchemist ,,
"tizeti please note, it seems your network is down around my area (mayfair gardens) i can not connect to the internet with your network. please investigate!",tizeti please note it seems your network is down around my area mayfair gardens i can not connect to the internet with your network please investigate,['customer service'],['Negative']
"tizeti netflixnaija dear tizeti, i'm totally disappointed. i've been unable to use internet for 3 days now after repeatedly contacting customer support. all i keep on hearing are excuses, no solutions. the only time your team is proactive is when you're sending out payment reminders!!!🤦‍♂️",tizeti netflixnaija dear tizeti im totally disappointed ive been unable to use internet for 3 days now after repeatedly contacting customer support all i keep on hearing are excuses no solutions the only time your team is proactive is when youre sending out payment reminders,['customer service'],['Negative']
the_speakable spectranet,thespeakable spectranet,,
pastorchristob1 airtelnigeria i can't wait to drop airtelnigeria sim. they swiftly gulp your data and they've stopped giving me bonus on recharge. they are a big scam... spectranet_ng on my mind for browsing...,pastorchristob1 airtelnigeria i cant wait to drop airtelnigeria sim they swiftly gulp your data and theyve stopped giving me bonus on recharge they are a big scam spectranetng on my mind for browsing,,
before tizeti will scam serah now,before tizeti will scam serah now,,
who wants to sell his/her spectranet 4g evo mifi? i will buy🤞🏾,who wants to sell hisher spectranet 4g evo mifi i will buy,,
"going back to spectranet, bye bye airtel binge bundle",going back to spectranet bye bye airtel binge bundle,,
